sprint_id,disease,local_research_question,executive_summary,status,priority,effort_estimate,dependencies,sprint_dates,key_result,next_action
S01,Rheumatoid Arthritis,"Which analytical methods best surface predictive biomarkers for RA outcomes using the manually extracted MIMIC-IV dataset?","Evaluated Methods 1-4 on RA (ICD-9 714.x). GP (pop=500, gen=100) is the only method beating LR baseline on both AUC-ROC (0.6715) and AUC-PR (0.0179). All methods converge on RDW, PLT, MCHC as top features. LLM identified correct features but lacked multiplicative structure. CBC-only signal for RA is weak (~1-2% precision at 1% prevalence).",Complete,—,3 days,None,2026-04-04 to 2026-04-06,GP beats baseline on both metrics; feature consensus across methods,Build automation tooling next
S02,Pipeline Automation,"Can the cohort extraction pipeline be parameterized to accept disease code as input and produce modeling CSV automatically?","[To be completed after sprint]",Planned,Critical,2 days,S01 (manual pipeline documented),,,Eliminate manual SQL per disease
S03,Unified Orchestrator,"Can a lightweight orchestrator run all methods sequentially and produce cross-method comparison automatically?","[To be completed after sprint]",Planned,Critical,2 days,S02 (automated pipeline),,,Run all 4 methods + comparison in one command
S04,Type 1 Diabetes,"Which methods best surface predictive biomarkers for T1D using MIMIC-IV CBC data, and do the same features/methods dominate as in RA?","[To be completed after sprint]",Planned,High,1 day,"S02, S03 (automated pipeline + orchestrator)",,,First disease on fully automated stack; validate framework is disease-agnostic
S05,Type 2 Diabetes,"Do T2D biomarker patterns differ from T1D, and can CBC features distinguish T1D from T2D?","[To be completed after sprint]",Planned,High,1 day,"S03, S04 (T1D results for comparison)",,,Compare T1D vs T2D CBC signatures
S06,Crohn's Disease,"Which methods best surface predictive biomarkers for Crohn's disease using MIMIC-IV CBC data?","[To be completed after sprint]",Planned,Medium,1 day,S03 (orchestrator),,,Test inflammatory bowel disease pattern
S07,Psoriasis,"Which methods best surface predictive biomarkers for psoriasis using MIMIC-IV CBC data?","[To be completed after sprint]",Planned,Medium,1 day,S03 (orchestrator),,,Test skin-immune condition pattern
S08,Cross-Disease,"Do different diseases favor different biomarker generation methods, or does GP consistently dominate?","[To be completed after sprint]",Planned,High,2 days,"S04, S05, S06, S07 (all disease sprints)",,,Synthesize cross-disease comparison
S09,Iterative LLM,"Does an iterative LLM prompting loop (propose-evaluate-feedback) close the gap between Med-Gemma and GP?","[To be completed after sprint]",Planned,Medium,3 days,"S03, S04 (LLM baseline on second disease)",,,Test hybrid LLM+feedback approach
S10,Feature Aggregation,"Do alternative temporal aggregation strategies (mean/min/max/trend vs last-value) improve discrimination?","[To be completed after sprint]",Planned,Low,3 days,S02 (automated pipeline),,,Test richer temporal features
S11,External Validation,"Do the discovered biomarkers generalize to the EHRSHOT dataset?","[To be completed after sprint]",Planned,Low,4 days,"S08 (final biomarkers selected), EHRSHOT access",,,Test generalizability
S12,Thesis Write-Up,"Final thesis document integrating all results and analysis.","[To be completed after sprint]",Planned,High,10 days,"S08, S09 (all experiments complete)",,,Begin writing after all experiments
