Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"sqrt(mul(log(log(log(plt))), div(log(log(hct)), add(add(hct, hgb), mul(plt, rbc)))))",0.0171,True,False
1,"neg(neg(log(sub(plt, div(neg(hct), -0.072)))))",0.0177,True,False
2,"sub(sqrt(sqrt(div(rbc, 0.647))), mul(add(sub(div(mchc, -0.238), mchc), mcv), sqrt(plt)))",0.0179,True,False
3,"add(sub(sqrt(sqrt(div(rbc, 0.647))), mul(add(sub(div(mchc, -0.238), mchc), mcv), sqrt(plt))), mcv)",0.018,True,False
4,"sub(sqrt(sqrt(div(rbc, 0.647))), mul(add(sub(div(mchc, -0.238), mchc), mcv), add(sub(sqrt(sqrt(div(rbc, 0.647))), mul(add(sub(div(mchc, -0.238), mchc), mcv), sqrt(plt))), mcv)))",0.0183,True,False
5,"sub(sqrt(sqrt(div(rbc, 0.647))), mul(div(mchc, -0.238), sub(sub(div(mchc, -0.238), mchc), mul(add(sub(div(mchc, -0.238), mchc), mcv), sqrt(plt)))))",0.0186,True,False
7,"sub(sub(div(mchc, -0.238), mchc), mul(add(sub(sub(div(mchc, -0.238), mchc), mchc), mcv), sub(sub(div(mchc, -0.238), mchc), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))))",0.0188,True,False
8,"div(sqrt(sqrt(hgb)), mul(add(sub(div(mchc, -0.238), mchc), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))))",0.0191,True,False
9,"div(sqrt(sqrt(hgb)), mul(add(div(mchc, -0.238), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))))",0.0201,True,False
10,"div(sqrt(sqrt(hgb)), mul(add(div(mchc, -0.238), mcv), sub(div(mchc, -0.238), mul(div(mchc, -0.238), sqrt(plt)))))",0.0207,True,True
11,"div(sqrt(sqrt(hgb)), mul(add(mul(add(div(mchc, -0.238), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))))",0.0208,True,True
15,"div(sqrt(sqrt(hgb)), mul(add(mul(add(div(mchc, -0.238), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))), mcv), sub(div(mchc, -0.238), mul(sqrt(div(mchc, -0.238)), sqrt(plt)))))",0.0208,False,True
